#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,phase
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-14T18:59:00Z,1538,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-14T19:58:32Z,1538,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-14T20:57:57Z,1537,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-14T21:57:26Z,1536,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-14T22:56:56Z,1535,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T01:55:25Z,1532,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T02:54:54Z,1531,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T03:54:20Z,1531,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T04:53:47Z,1530,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T05:53:14Z,1529,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T06:52:44Z,1528,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T07:52:12Z,1527,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T08:51:44Z,1525,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T10:50:49Z,1512,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T11:50:22Z,1506,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T12:49:51Z,1503,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T13:49:18Z,1504,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-15T17:47:16Z,1505,load_grams,plant_watering,esp_2_timer_irrigation,post
